2026-09-20 14:48:32.527 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:32.528 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:32.529 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:32.531 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:32.532 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:32.532 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:32.533 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:32.535 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:32.536 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:32.794 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:33.065 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204C8FB6A50>
2026-09-20 14:48:33.065 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:33.066 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:33.066 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:33.067 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:33.068 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:33.071 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:33.072 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:33.072 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:33.073 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:33.074 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:33.076 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:33.208 | ERROR    | __main__:_init_vts:922 | [SERVER ERROR] VTube Studio failed to connect: [WinError 1225] The remote computer refused the network connection
2026-09-20 14:48:33.333 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:33.713 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204CA237710>
2026-09-20 14:48:33.714 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:33.716 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:33.716 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:33.717 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:33.719 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:33.722 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
